hhid,xcor,ycor,size,color,heading,shape,hhmembers,children,elders,adults,TLU,oxen,cows,calves,farmland_ha,fields,maize_selfconsume_kg,agriculture_h,region,woreda
040901088800304210,-9,2,1,9.9,53,house,12,7,1,4,4.61,0,1,1,5.028766,3,0,112,4,1
041901088800103002,-10,-11,1,9.9,295,house,9,6,0,3,17.4,4,3,2,3.58494,5,24.099999666213982,60,4,1
041901088800103012,-5,8,1,9.9,16,house,2,1,0,1,3.3,1,1,1,19.76943,2,12.360000044107437,0,4,1
041901088800103017,-16,-14,1,9.9,271,house,4,2,1,1,9.959999999999999,4,2,2,4.6685989999999995,2,9.93500006198883,14,4,1
041901088800103027,-3,5,1,9.9,216,house,7,5,0,2,0.2,0,0,0,0.909557,4,11.410000324249271,0,4,1
041901088800103032,12,-3,1,9.9,17,house,6,4,0,2,9.17,2,2,0,2.840535,5,18.01999986171722,12,4,1
041901088800103047,10,-9,1,9.9,72,house,3,2,0,1,0.12,0,0,0,1.613685,4,5.9700000286102295,0,4,1
041901088800103062,12,-12,1,9.9,175,house,5,3,1,1,7,2,3,2,4.34483,8,9.21999990940094,36,4,1
041901088800103077,-8,1,1,9.9,118,house,7,5,0,2,16.14,0,0,0,2.35296,3,15.18999993801117,0,4,1
041901088800103092,3,-13,1,9.9,7,house,7,5,0,2,14.02,2,4,2,12.515325,7,12.84999984502792,26,4,1
041901088800103107,11,15,1,9.9,247,house,5,3,1,1,9.71,2,1,1,0.16909,1,8.955000042915344,0,4,1
041901088800103122,10,-8,1,9.9,36,house,8,5,1,2,22.529999999999998,4,5,1,5.358162999999999,9,13.89999985694886,14,4,1
041901088800103137,5,-13,1,9.9,99,house,5,3,1,1,19.36,3,3,2,3.690405,6,22.985000312328335,123,4,1
synthesized1,12,-2,1,9.9,107,house,7,4,1,2,17.69,0,2,1,1.9889599999999998,4,14,40,4,1
synthesized2,-1,-10,1,9.9,152,house,7,4,1,2,7.6,1,2,0,1.81044,5,0,7,4,1
synthesized3,13,-12,1,9.9,300,house,8,4,1,3,27,0,1,0,0.807942,3,13.906999617815051,40,4,1
synthesized4,15,-1,1,9.9,163,house,5,3,0,2,13.39,2,2,0,1.2741200000000001,4,36.80000042915344,48,4,1
synthesized5,13,15,1,9.9,140,house,1,0,1,0,3.4000000000000004,0,0,0,0.004222999999999999,1,0,0,4,1
synthesized6,-10,8,1,9.9,212,house,7,4,1,2,25,6,16,3,0.5026349999999999,1,20,0,4,1
synthesized7,0,-2,1,9.9,214,house,8,5,1,2,15.34,2,2,0,5.52033,9,25,12,4,1
synthesized8,1,6,1,9.9,334,house,1,0,0,1,6.165,0,2,2,1.6504450000000002,3,0,0,4,1
synthesized9,-11,-14,1,9.9,349,house,5,3,0,2,15.299999999999999,1,2,0,0.360612,1,15.410000085830688,35,4,1
synthesized10,16,4,1,9.9,132,house,5,3,0,2,4.46,2,1,1,1.8625310000000002,6,25,14,4,1
synthesized11,5,0,1,9.9,18,house,7,3,1,3,4.82,0,2,0,0.08803,1,12,143,4,1
synthesized12,10,-7,1,9.9,61,house,10,7,0,3,5.21,0,2,1,9.326139999999999,1,25.620000600814798,116,4,1
synthesized13,-2,7,1,9.9,23,house,5,3,0,2,1.315,0,0,0,0.19682000000000002,5,0,18,4,1
synthesized14,16,-7,1,9.9,231,house,5,2,1,2,6.319999999999999,2,1,1,2.233555,7,0,21,4,1
synthesized15,-8,-7,1,9.9,85,house,5,3,0,2,3.03,0,2,1,0.200455,4,0,132,4,1
synthesized16,16,7,1,9.9,338,house,14,6,0,6,38.959999999999994,0,9,5,36.604963,8,18.930000126361872,64,4,1
synthesized17,-12,-14,1,9.9,87,house,8,5,0,3,1.42,1,0,0,0.9707460000000001,5,6.372000217437744,94,4,1
synthesized18,-13,-15,1,9.9,166,house,11,7,1,3,22.93,4,5,4,7.1791339999999995,9,92.3199971914292,44,4,1
synthesized19,6,-4,1,9.9,176,house,10,5,1,5,17.439999999999998,0,2,1,15.514425,7,30,150,4,1
synthesized20,-5,11,1,9.9,88,house,7,3,0,4,1.2000000000000002,0,0,0,2.344338,1,0,2,4,1
synthesized21,2,-2,1,9.9,340,house,6,3,0,3,3.41,0,2,1,1.51968,1,20,63,4,1
synthesized22,-13,16,1,9.9,68,house,8,5,0,3,3,1,1,1,0.172126,1,0,177,4,1
synthesized23,14,12,1,9.9,250,house,5,3,0,2,3.03,0,1,0,0.08206000000000001,1,0,40,4,1
synthesized24,13,6,1,9.9,44,house,3,1,0,1,0.85,0,0,0,5.287697,3,2,14,4,1
synthesized25,-6,-13,1,9.9,208,house,4,2,0,2,6,2,2,2,2.49281,11,1.03200003504753,66,4,1
synthesized26,-12,-16,1,9.9,275,house,10,7,0,3,13.44,4,5,4,4.255319999999999,9,16,0,4,1
synthesized27,4,-15,1,9.9,27,house,11,7,0,3,5.23,0,2,3,1.346789,4,21,10,4,1
synthesized28,15,-5,1,9.9,325,house,8,5,1,2,0.2,0,0,0,0.110956,1,0,0,4,1
synthesized29,-6,-3,1,9.9,194,house,5,2,0,3,0.12,0,0,0,0.8885549999999999,3,4.4880000352859515,24,4,1
synthesized30,-5,12,1,9.9,7,house,6,3,1,2,5.32,0,1,1,2.9134349999999998,8,28.55999982357028,11,4,1
synthesized31,3,13,1,9.9,181,house,7,3,1,3,4.82,2,0,0,2.545472,8,21.46799969673157,58,4,1
synthesized32,-2,8,1,9.9,130,house,7,4,1,2,5.3,1,1,0,9.326139999999999,7,14,0,4,1
synthesized33,1,-7,1,9.9,166,house,1,0,0,1,4,3,1,0,2.3769099999999996,4,0,0,4,1
