hhid,xcor,ycor,size,color,heading,shape,hhmembers,children,elders,adults,TLU,oxen,cows,calves,farmland_ha,fields,maize_selfconsume_kg,agriculture_h,region,woreda
130101088800704044,-15,-6,1,9.9,92,house,7,5,0,2,9.129999999999999,1,0,0,16.668505,7,12,115,13,1
130101088800905033,-12,14,1,9.9,252,house,13,9,1,3,6.03,1,3,1,1.9319400000000002,4,0,106,13,1
130101088801304010,14,-11,1,9.9,256,house,1,0,1,0,0,0,0,0,1.5664075,3,10,0,13,1
130101088800704109,-2,-6,1,9.9,176,house,6,4,0,2,5.6499999999999995,1,0,0,7.136775,2,0,105,13,1
130101088801405094,-7,0,1,9.9,214,house,5,3,1,1,7.55,1,2,1,3.209225,9,18,55,13,1
130101088800303056,-16,-5,1,9.9,176,house,10,7,1,2,9.56,0,3,2,1.27178,6,11,56,13,1
130101088800102022,13,6,1,9.9,225,house,3,2,0,1,0.68,0,0,0,9.8399,4,9,35,13,1
130101088801103031,7,11,1,9.9,78,house,1,0,1,0,1.6199999999999999,1,0,0,0.49135,4,0,0,13,1
130101088801603193,-5,10,1,9.9,250,house,6,4,0,2,6.83,0,0,0,0.431565,1,0,2,13,1
130101088800704006,12,-12,1,9.9,252,house,6,4,0,2,2,0,1,1,9.277475,4,6,97,13,1
130101088801603066,11,15,1,9.9,22,house,8,6,0,2,6,0,3,3,2.83631,4,0,0,13,1
130101088801603007,11,-11,1,9.9,320,house,7,5,0,2,0.44,0,0,0,0.5608650000000001,2,0,0,13,1
130101088800405129,-13,7,1,9.9,87,house,7,5,0,2,2.7800000000000002,0,1,1,0.43258,5,18,157,13,1
130101088800905139,10,-4,1,9.9,341,house,10,7,1,2,5.83,1,1,0,2.246865,10,12.5,80,13,1
130101088801304017,-5,-14,1,9.9,297,house,6,4,0,2,4.58,0,1,0,1.742375,2,46.0530014038086,7,13,1
130101088801103017,-9,16,1,9.9,80,house,7,5,0,2,0.41000000000000003,0,0,0,0.76741,4,7,6,13,1
130101088801304113,-8,-10,1,9.9,337,house,7,5,0,2,2.79,0,1,1,0.8959,3,73.86600112915039,48,13,1
130101088800905049,5,-6,1,9.9,43,house,11,8,0,3,6.5200000000000005,1,2,1,7.391797499999999,4,22,54,13,1
130101088801603002,-14,-13,1,9.9,38,house,4,3,0,1,2,0,1,1,1.4343549999999998,3,0,42,13,1
130101088800102040,0,9,1,9.9,189,house,8,6,0,2,3.32,0,2,1,0.38143499999999997,4,20,49,13,1
130101088801304023,16,9,1,9.9,359,house,7,5,0,2,2.45,0,1,1,1.70412,3,104.9419975280762,3,13,1
130101088800601098,-4,-6,1,9.9,260,house,1,0,1,0,1.2000000000000002,0,0,0,0.17473400000000003,1,5,42,13,1
130101088800601115,-5,-1,1,9.9,74,house,7,5,0,2,2.58,0,1,0,0.33351800000000004,6,0,154,13,1
130101088801603087,15,1,1,9.9,75,house,9,6,1,2,3.7,0,0,0,1.2061950000000001,2,0,2,13,1
130101088801304041,-10,-6,1,9.9,284,house,4,3,0,1,4,0,2,2,1.7761300000000002,3,0,0,13,1
130101088800405056,10,-16,1,9.9,108,house,9,6,1,2,7.43,0,1,0,13.473235,1,10,60,13,1
130101088801103048,-2,-3,1,9.9,193,house,5,3,1,1,3.03,1,1,0,0.51799,3,20,58,13,1
130101088800704127,8,11,1,9.9,55,house,7,5,0,2,2.54,0,1,0,0.4738,2,10,61,13,1
130101088800303128,2,10,1,9.9,155,house,5,3,1,1,1.2,0,1,0,0.4101,4,9,28,13,1
130101088801603171,6,2,1,9.9,92,house,1,0,1,0,1.09,0,0,0,0.33189166666666664,2,0,0,13,1
130101088801405022,1,-13,1,9.9,254,house,7,5,0,2,9.91,0,1,0,6.661169999999999,2,14,42,13,1
130101088801405167,-4,11,1,9.9,254,house,5,3,1,1,0.48000000000000004,0,0,0,0.39068500000000006,4,6,65,13,1
130101088800102078,8,10,1,9.9,226,house,7,5,0,2,3.1,0,1,0,0.403841,4,21,28,13,1
130101088800704163,-9,-5,1,9.9,5,house,10,7,1,2,12.64,4,4,4,4.354769999999999,5,20,129,13,1
130101088801103033,-9,-7,1,9.9,103,house,7,5,0,2,1.75,0,0,0,0.21529,3,15,10,13,1
130101088800405002,14,-4,1,9.9,280,house,5,3,1,1,1.1800000000000002,0,0,0,0.091685,2,4,28,13,1
130101088800405038,-1,-5,1,9.9,83,house,7,5,0,2,1.02,0,0,0,3.335835,4,14,30,13,1
130101088800303004,-8,-7,1,9.9,10,house,3,2,0,1,0,0,0,0,0.3151,3,5,0,13,1
130101088800303032,3,-8,1,9.9,293,house,5,3,1,1,0.04,0,0,0,0.0047350000000000005,1,3,0,13,1
130101088801405003,9,2,1,9.9,291,house,2,1,1,0,1.42,1,0,0,0.385935,6,3,0,13,1
130101088800905094,14,7,1,9.9,325,house,10,7,1,2,7.02,1,1,1,1.7791170000000003,6,11,31,13,1
130101088801405008,16,5,1,9.9,12,house,1,0,1,0,0,0,0,0,0.00375,1,0,3,13,1
130101088800601169,5,11,1,9.9,121,house,9,6,1,2,1.58,0,0,0,0.6538,3,8,136,13,1
130101088800601078,-14,-4,1,9.9,257,house,8,6,0,2,3.75,0,1,1,0.75234,5,0,169,13,1
130101088800102096,4,-4,1,9.9,14,house,7,5,0,2,3.34,1,1,1,0.34930500000000003,4,18,0,13,1
130101088800601133,-1,5,1,9.9,231,house,3,2,0,1,0,0,0,0,0.355239,2,8,63,13,1
130101088801304095,-16,6,1,9.9,111,house,9,6,1,2,2.27,0,1,0,1.1947649999999999,4,36.0530014038086,4,13,1
130101088800102114,15,16,1,9.9,172,house,5,3,1,1,1.5,0,0,0,5.78664,5,11,42,13,1
130101088800102059,-8,-2,1,9.9,13,house,14,10,0,4,4.74,0,2,1,32.912055,7,20,56,13,1
130101088801603129,-13,16,1,9.9,34,house,3,2,0,1,0.78,0,0,0,0.67085,2,0,2,13,1
130101088800704072,-5,-3,1,9.9,266,house,8,6,0,2,1.46,0,0,0,0.597117,6,16,108,13,1
130101088800303080,-11,-7,1,9.9,191,house,4,3,0,1,6.54,0,1,1,1.23916,6,6,14,13,1
130101088801103108,-5,-6,1,9.9,151,house,9,6,1,2,0.52,0,0,0,0.40040499999999996,2,8,37,13,1
130101088800905064,13,13,1,9.9,329,house,5,3,1,1,6.699999999999999,0,1,1,14.207157999999998,7,0,36,13,1
130101088800704145,2,-9,1,9.9,254,house,5,3,1,1,0.6000000000000001,0,0,0,0.8109689999999999,5,14,107,13,1
130101088801603190,-2,14,1,9.9,42,house,6,4,0,2,0,0,0,0,0.38172833333333334,1,0,0,13,1
130101088800905034,4,-14,1,9.9,62,house,5,3,1,1,2.05,0,0,0,0.576437,2,10,0,13,1
130101088800102004,-10,3,1,9.9,295,house,8,6,0,2,2,0,1,1,1.38404,2,20,49,13,1
130101088800905018,1,14,1,9.9,179,house,5,3,1,1,5.43,1,2,1,1.482011,6,0,64,13,1
130101088801405058,10,9,1,9.9,288,house,6,4,0,2,29.8,1,1,0,16.866220000000002,4,15,86,13,1
130101088800704091,13,3,1,9.9,16,house,5,3,1,1,3.41,1,1,1,4.133543,10,7,88,13,1
130101088800405074,-6,-3,1,9.9,115,house,7,5,0,2,0,0,0,0,5.89215,2,15,66,13,1
130101088800905124,12,11,1,9.9,339,house,5,3,1,1,8.18,1,0,0,1.37121,7,0,73,13,1
130101088800405193,-12,5,1,9.9,124,house,1,0,1,0,0,0,0,0,0.641581,2,0,0,13,1
130101088800405092,13,-14,1,9.9,327,house,5,3,1,1,0.4,0,0,0,0.079305,1,5,86,13,1
130101088801603150,-15,7,1,9.9,241,house,5,3,1,1,2.18,0,1,1,0.282055,2,0,4,13,1
130101088801103012,13,0,1,9.9,187,house,5,3,1,1,0,0,0,0,0.9722699999999999,4,17,0,13,1
130101088800102049,-3,-7,1,9.9,42,house,5,3,1,1,0.2,0,0,0,0.06049500000000001,2,8,14,13,1
130101088801603024,-9,4,1,9.9,230,house,9,6,1,2,7.32,0,1,1,0.681185,4,0,22,13,1
130101088800601003,9,-12,1,9.9,107,house,8,6,0,2,3,0,1,2,0.698442,3,15,157,13,1
130101088801405076,-8,-1,1,9.9,267,house,14,10,0,4,5.59,1,0,0,1.4976699999999998,8,28,75,13,1
130101088801405112,-15,13,1,9.9,8,house,8,6,0,2,3,1,1,1,0.508985,7,14,4,13,1
130101088800704065,15,-5,1,9.9,145,house,1,0,1,0,0,0,0,0,0.01605,1,0,6,13,1
130101088800102132,-14,16,1,9.9,42,house,7,5,0,2,3,0,2,1,0.5792700976562499,3,12,49,13,1
130101088800601021,-4,13,1,9.9,335,house,2,1,1,0,2,0,1,1,0.214192,5,6,35,13,1
130101088800405165,-9,-9,1,9.9,58,house,7,5,0,2,1.1800000000000002,0,0,0,0.58472,2,15,84,13,1
130101088801304167,-1,-11,1,9.9,171,house,5,3,1,1,3.1999999999999997,0,0,0,1.7657209999999999,5,44.0530014038086,5,13,1
130101088801603108,-9,-4,1,9.9,26,house,6,4,0,2,4.41,0,2,1,0.9415549999999999,3,0,3,13,1
130101088800905009,-8,13,1,9.9,272,house,8,6,0,2,3.21,0,1,1,0.788225,3,13,44,13,1
130101088800102150,-6,-13,1,9.9,198,house,9,6,1,2,2,0,1,1,22.63087,5,16,28,13,1
130101088801304077,-16,5,1,9.9,59,house,7,5,0,2,1.01,0,1,0,0.73537,3,36.0530014038086,2,13,1
130101088800102168,-12,-12,1,9.9,234,house,7,5,0,2,14.38,2,3,2,2.7378150000000003,1,8,49,13,1
130101088800905002,2,-7,1,9.9,116,house,13,9,1,3,10.5,2,1,2,1.2773375,4,25,152,13,1
130101088800905109,-16,-8,1,9.9,299,house,9,6,1,2,9.97,0,1,0,10.366609,7,10,64,13,1
130101088800704025,6,-14,1,9.9,91,house,3,2,0,1,1.81,0,1,0,3.5514900000000003,4,0,45,13,1
130101088801405149,16,-5,1,9.9,138,house,11,8,0,3,11.379999999999999,1,2,0,0.9652299999999999,6,20,50,13,1
130101088800405147,8,-15,1,9.9,178,house,7,5,0,2,0.78,0,0,0,0.40671999999999997,4,7,46,13,1
130101088801405040,2,-15,1,9.9,190,house,6,4,0,2,4.72,0,0,0,0.034795,2,5.5,20,13,1
130101088801103123,-15,5,1,9.9,110,house,2,1,1,0,2.42,1,1,0,0.37228,1,25,10,13,1
130101088800601031,10,4,1,9.9,220,house,5,3,1,1,0,0,0,0,0.22647000000000003,3,11,168,13,1
130101088801405144,-9,6,1,9.9,229,house,1,0,1,0,0,0,0,0,4.303952499999999,8,0,0,13,1
130101088801405130,7,3,1,9.9,22,house,6,4,0,2,3.61,1,1,1,7.642675,11,9,14,13,1
130101088800303202,3,-11,1,9.9,49,house,17,12,1,4,17.869999999999997,0,2,1,6.41784,7,32,97,13,1
130101088800303251,16,-9,1,9.9,314,house,7,5,0,2,10.404999999999998,0,2,1,5.28844,6,0,0,13,1
130101088801103078,-10,2,1,9.9,292,house,2,1,1,0,0.25,0,0,0,0.43436500000000006,3,2,0,13,1
130101088800405111,-10,-12,1,9.9,61,house,6,4,0,2,0.8,0,0,0,0.272115,1,5,46,13,1
130101088800601040,-2,13,1,9.9,137,house,9,6,1,2,2,0,1,1,0.235521,5,10,168,13,1
