hhid,xcor,ycor,size,color,heading,shape,hhmembers,children,elders,adults,TLU,oxen,cows,calves,farmland_ha,fields,maize_selfconsume_kg,agriculture_h,region,woreda
031201088800101133,-10,-12,1,9.9,195,house,7,3,0,4,0,0,0,0,0.36674500000000004,2,20,0,3,1
030301088800204040,13,0,1,9.9,168,house,8,4,0,4,15.67,3,2,2,2.5943651953125,7,11.009999990463228,101,3,1
031201088800504056,0,0,1,9.9,260,house,4,1,1,2,1.45,0,0,0,4.681942500000001,3,0,0,3,1
030501088801504175,-3,-10,1,9.9,242,house,4,1,0,3,0.01,0,0,0,0.8152550000000001,2,4.259999871253968,24,3,1
031201088800303002,13,-8,1,9.9,239,house,7,3,0,4,4.19,0,2,2,1.578993,4,7.95599985122682,0,3,1
031201088800504004,5,3,1,9.9,315,house,2,0,1,1,0,0,0,0,0.0076,1,0,0,3,1
030101088800204114,-10,10,1,9.9,114,house,10,5,0,5,20.19,2,3,2,1.9676209999999998,6,28,0,3,1
031201088800303099,3,4,1,9.9,51,house,1,0,0,1,3.61,0,0,0,1.166321,5,0,0,3,1
030101088800204040,-8,-16,1,9.9,287,house,1,0,1,0,9.12,1,2,1,0.317756,2,7,0,3,1
031201088800101057,12,8,1,9.9,286,house,8,3,1,4,7.199999999999999,1,1,2,0.740114,7,7,41,3,1
030501088801504196,-5,-7,1,9.9,162,house,6,1,1,4,0.01,0,0,0,1.2526,2,10.99400043487548,120,3,1
030101088800204132,12,-5,1,9.9,283,house,8,4,0,4,11.7,2,2,2,1.309259,3,16,10,3,1
031201088800504028,6,11,1,9.9,255,house,7,3,0,4,10,2,4,4,2.016755,4,5.49700021743774,105,3,1
030701088801406142,-1,-16,1,9.9,92,house,4,0,1,3,0,0,0,0,0.2934866666666667,2,0,10,3,1
030201088800703129,12,3,1,9.9,43,house,4,2,0,2,2.42,1,1,0,3.294399,5,2.580000042915345,60,3,1
030101088800204028,11,9,1,9.9,69,house,3,1,0,2,3.4899999999999998,0,0,0,0.502301,2,5,0,3,1
031201088800101088,-11,-10,1,9.9,70,house,9,4,0,5,3.5,1,1,1,0.697045,4,50,42,3,1
031001088801106094,0,-11,1,9.9,206,house,7,2,1,4,0,0,0,0,4,1,12,0,3,1
031001088801106022,-1,-13,1,9.9,230,house,13,5,1,7,13.88,2,3,3,18.654465,7,25,84,3,1
030501088801504012,0,-3,1,9.9,7,house,1,0,0,1,0,0,0,0,2.3195050000000004,4,0,12,3,1
030901088801202076,6,2,1,9.9,324,house,8,3,0,5,7.949999999999999,1,1,0,2.9676485,6,0,46,3,1
031201088800303130,3,2,1,9.9,280,house,8,3,1,4,7.659999999999999,2,1,1,0.558517,5,4.773999929428107,4,3,1
031201088800504016,12,2,1,9.9,2,house,5,2,0,3,0.12,0,0,0,0.03697999999999999,2,0,0,3,1
031201088800504108,15,-3,1,9.9,262,house,11,5,0,6,10.08,3,2,2,2.75855,8,20.5200004577636,88,3,1
