hhid,xcor,ycor,size,color,heading,shape,hhmembers,children,elders,adults,TLU,oxen,cows,calves,farmland_ha,fields,maize_selfconsume_kg,agriculture_h,region,woreda
010103088801804004,-10,-3,1,9.9,160,house,4,2,0,2,4.32,1,2,0,0.714047,4,6.320000171661376,49,1,3
010103088801804019,7,16,1,9.9,240,house,6,3,0,3,0.04,0,0,0,8.33,1,0,0,1,3
010103088801804034,3,-6,1,9.9,197,house,5,2,1,2,3.29,1,0,0,2.329057,2,6.320000171661376,0,1,3
010103088801804049,-16,9,1,9.9,135,house,2,1,0,1,10.579999999999998,0,0,0,0.744079,5,12.640000343322752,0,1,3
010103088801804051,9,-14,1,9.9,113,house,3,1,0,2,8.899999999999999,0,0,0,0.8519013333333333,6,11.180000185966495,0,1,3
010103088801804069,-14,-14,1,9.9,76,house,3,1,0,2,7.22,0,0,1,0.9597236666666666,6,6.320000171661376,0,1,3
010103088801804085,5,10,1,9.9,342,house,6,3,0,3,6.16,1,1,1,1.0675459999999999,7,1074.0639648437505,42,1,3
010103088801804100,-8,-1,1,9.9,264,house,5,2,1,2,1.6199999999999999,1,0,0,0.7790159999999999,3,3.95000010728836,0,1,3
010103088801804115,-6,-7,1,9.9,59,house,6,3,0,3,8.78,1,1,0,11.360721,4,25.280000686645504,84,1,3
010103088801804130,4,12,1,9.9,240,house,11,5,0,6,6.09,1,1,0,5.020955000000001,3,28.168000698089596,110,1,3
010103088801804145,13,-13,1,9.9,83,house,9,4,1,4,16.84,1,0,0,10.802795,7,25.280000686645504,0,1,3
010203088801001002,8,-10,1,9.9,41,house,8,4,0,4,7.07,1,2,1,1.006005,4,35.994999706745155,352,1,3
010203088801001017,-10,0,1,9.9,98,house,2,1,0,1,1.19,0,0,0,0.12023799999999998,2,5.16000008583069,0,1,3
010203088801001032,14,6,1,9.9,114,house,2,1,0,1,0,0,0,0,0.076772,1,4.034999907016755,2,1,3
010203088801001047,-11,-9,1,9.9,66,house,8,4,0,4,2,0,0,0,0.697892,5,24.73999977111817,278,1,3
010203088801001062,-2,9,1,9.9,97,house,11,5,0,6,4.84,1,1,1,0.730445,3,49.0749990940094,264,1,3
010203088801001080,-11,5,1,9.9,54,house,6,3,0,3,1.91,1,0,0,0.06379800000000001,1,8.06999981403351,244,1,3
010203088801001095,-16,14,1,9.9,144,house,1,0,1,0,2.06,0,1,1,0.20796399999999998,1,11.413999795913698,84,1,3
010203088801001097,-5,-1,1,9.9,228,house,3,1,0,2,0,0,0,0,0.679963,1,8.09499979019165,0,1,3
010203088801001111,5,0,1,9.9,102,house,10,5,0,5,5.76,2,1,1,0.745863,4,91.07999920845032,432,1,3
010203088801001128,15,2,1,9.9,33,house,8,4,0,4,8.55,1,1,1,0.5348350000000001,3,24.73999977111817,348,1,3
010203088801001145,1,6,1,9.9,300,house,11,5,0,6,8.15,2,2,1,0.728834,3,114.23999845981598,308,1,3
010203088801001152,14,-10,1,9.9,136,house,1,0,1,0,0,0,0,0,0.005069,1,6.480999827384949,0,1,3
010303088800605002,16,-2,1,9.9,171,house,8,4,0,4,4.7,1,1,1,0.593216,3,7.399000287056,46,1,3
010303088800605014,-11,8,1,9.9,292,house,8,4,0,4,3.5100000000000002,1,1,1,9.738881,2,32.47500002384192,76,1,3
010303088800605027,2,8,1,9.9,176,house,8,4,0,4,3.91,1,1,1,0.46588100000000005,1,16.61999940872192,35,1,3
010303088800605036,-9,9,1,9.9,315,house,8,4,0,4,1.4400000000000002,0,0,0,0.046678000000000004,1,0,47,1,3
010303088800605040,-16,-4,1,9.9,300,house,8,4,0,4,8.39,2,1,0,0.944449,2,12.46499955654144,62,1,3
010303088800605052,3,-5,1,9.9,158,house,11,5,0,6,1.05,0,0,0,0.020719,1,0,70,1,3
010303088800605066,-6,6,1,9.9,178,house,12,6,0,6,4.97,2,1,1,0.742797,1,22.3120002746582,45,1,3
010303088800605078,0,-15,1,9.9,342,house,11,5,0,6,6.17,1,1,1,0.810894,1,50.224999785423364,55,1,3
010303088800605100,-3,-13,1,9.9,203,house,5,2,1,2,0,0,0,0,0.4840545,1,0,0,1,3
010303088800605107,15,-12,1,9.9,197,house,5,2,1,2,3,1,1,1,0.15721500000000002,1,0,0,1,3
010303088800605119,-4,-16,1,9.9,254,house,4,2,0,2,2.35,1,0,0,0.45141800000000004,3,0.583999991416932,55,1,3
010303088800605131,10,5,1,9.9,17,house,3,1,0,2,7.6,0,0,0,10.655133,1,4.8270001411438,50,1,3
010403088800404002,-4,-4,1,9.9,48,house,5,2,1,2,0.36,0,0,0,1.1169619999999998,3,7.144000053405756,0,1,3
010403088800404014,-10,-13,1,9.9,344,house,7,3,0,4,3.88,2,0,0,2.1399209999999997,8,13.475000023841844,82,1,3
010403088800404027,7,0,1,9.9,338,house,7,3,0,4,4.76,1,1,1,2.054895,6,6.258000016212452,35,1,3
010403088800404040,-10,-10,1,9.9,120,house,8,4,0,4,7.62,1,1,1,1.614906,6,18.801999926567042,56,1,3
010403088800404053,13,13,1,9.9,166,house,7,3,0,4,10.159999999999998,1,0,0,1.385629,4,11.67200016975401,61,1,3
010403088800404065,-9,-2,1,9.9,19,house,7,3,0,4,10.719999999999999,1,1,1,2.675897,7,20.69999992847439,38,1,3
010403088800404074,13,-3,1,9.9,37,house,4,2,0,2,0,0,0,0,0.087886,1,0,0,1,3
010403088800404079,-12,0,1,9.9,355,house,3,1,0,2,5.59,3,1,1,2.122706,6,7.705000042915334,63,1,3
010403088800404093,3,-15,1,9.9,246,house,3,1,0,2,0,0,0,0,0.580933,2,6.258000016212452,0,1,3
010403088800404106,-9,7,1,9.9,121,house,8,4,0,4,5.89,2,1,1,2.124199,11,22.91799986362453,0,1,3
010403088800404118,-6,-11,1,9.9,251,house,9,4,1,4,11.12,2,2,2,3.138265,9,50.655000090599025,7,1,3
010403088800404143,-8,-14,1,9.9,139,house,2,1,0,1,0,0,0,0,0.031310000000000004,1,6.746000051498394,0,1,3
010503088801501011,16,4,1,9.9,128,house,6,3,0,3,18.75,2,5,2,0.889676,3,25,0,1,3
010503088801501062,15,-13,1,9.9,295,house,4,2,0,2,13.47,2,3,1,2.684886,1,20,0,1,3
010503088801501114,-16,-9,1,9.9,14,house,10,5,0,5,13.5,3,3,2,2.8473,1,0,22,1,3
010503088801501183,-3,6,1,9.9,193,house,8,4,0,4,15.709999999999999,4,2,2,7.306547,1,24,50,1,3
010503088801501236,16,-7,1,9.9,91,house,5,2,1,2,10.56,2,2,2,2.536907,3,40,0,1,3
010503088801501306,4,8,1,9.9,27,house,5,2,1,2,2.6,0,1,1,2.5661368984374997,2,20,28,1,3
010503088801501372,8,-15,1,9.9,178,house,8,4,0,4,8,0,4,4,2.595366796875,2,0,0,1,3
010503088801501503,9,-6,1,9.9,328,house,8,4,0,4,14.790000000000001,3,3,3,4.24964,2,20,0,1,3
010503088801501572,-5,-14,1,9.9,116,house,8,4,0,4,30.66,3,6,3,4.1780669999999995,2,40,0,1,3
010503088802304003,15,11,1,9.9,233,house,7,3,0,4,36.52,3,8,7,5.914185,4,37.15599960088729,31,1,3
010503088802304015,8,2,1,9.9,194,house,3,1,0,2,35.29,3,10,3,2.7231400000000003,1,46.58999985456466,31,1,3
010503088802304021,15,14,1,9.9,264,house,6,3,0,3,9.91,2,1,1,1.19779,3,2.720000028610232,50,1,3
010503088802304039,11,5,1,9.9,255,house,4,2,0,2,24.82,2,4,3,5.735354,4,24.41199994087219,31,1,3
010503088802304053,-4,-11,1,9.9,309,house,6,3,0,3,15.59,2,3,2,2.754125,3,31.74199968576431,36,1,3
010503088802304057,-13,-12,1,9.9,45,house,7,3,0,4,12.290000000000001,2,2,1,1.737291,2,30.251999855041504,49,1,3
010503088802304075,-11,-2,1,9.9,130,house,10,5,0,5,15.79,2,1,1,3.2769660000000003,3,57.939999818801866,36,1,3
010503088802304094,10,3,1,9.9,87,house,6,3,0,3,0,0,0,0,1.927998,2,0,0,1,3
010503088802304112,15,-2,1,9.9,257,house,6,3,0,3,6.5,2,1,1,0.57903,1,37.541999816894524,36,1,3
010503088802304130,14,-7,1,9.9,132,house,7,3,0,4,12.229999999999999,2,2,1,4.005762,2,42.77599972486495,30,1,3
010503088802304148,-6,-14,1,9.9,119,house,8,4,0,4,19.55,2,3,4,4.828058,3,45.00999975204467,48,1,3
010503088802304166,-14,16,1,9.9,316,house,3,1,0,2,1.8199999999999998,1,0,0,1.166448,7,2.886000096797944,21,1,3
synthesized1,4,-8,1,9.9,212,house,3,1,0,2,0,0,0,0,0.679963,3,0,0,1,3
synthesized2,-16,-2,1,9.9,263,house,6,3,0,3,12.829999999999998,2,2,1,2.684886,1,56.1350017786026,95,1,3
synthesized3,11,2,1,9.9,270,house,6,3,0,3,0,0,0,0,0.20084100000000002,1,48.128998756408635,0,1,3
synthesized4,9,1,1,9.9,124,house,5,2,1,2,0,0,0,0,0.48667,1,0,0,1,3
synthesized5,-16,10,1,9.9,177,house,4,2,0,2,12.709999999999999,1,0,0,0.744079,3,32.47999906539916,63,1,3
synthesized6,3,15,1,9.9,248,house,9,4,1,4,12.62,2,4,2,2.8473,5,35.2919995188713,30,1,3
synthesized7,10,2,1,9.9,192,house,9,4,1,4,33.660000000000004,3,5,1,5.914185,2,91.07999920845032,54,1,3
synthesized8,5,-1,1,9.9,189,house,8,4,0,4,6.77,3,0,0,9.655603999999999,9,14.435000300407419,68,1,3
synthesized9,0,12,1,9.9,265,house,7,3,0,4,4.82,1,1,1,0.633425,1,31.74199968576431,289,1,3
synthesized10,-8,3,1,9.9,5,house,5,2,1,2,9.97,2,0,0,0.202237,1,0,10,1,3
synthesized11,-3,-2,1,9.9,240,house,3,1,0,2,8.899999999999999,0,0,0,1.635158,2,10.679999828338632,24,1,3
synthesized12,6,2,1,9.9,349,house,9,4,1,4,37.98,3,5,1,0.41946700000000003,2,2.6020000278949778,112,1,3
synthesized13,-3,5,1,9.9,248,house,6,3,0,3,6.42,1,1,1,0.9597236666666666,7,20.224999487400055,32,1,3
synthesized14,-16,-14,1,9.9,110,house,6,3,0,3,2.6999999999999997,1,0,0,0.191581,3,10.679999828338632,36,1,3
synthesized15,-13,2,1,9.9,147,house,9,4,1,4,11.12,2,2,1,1.938798,4,24.799999773502346,67,1,3
