hhid,xcor,ycor,size,color,heading,shape,hhmembers,children,elders,adults,TLU,oxen,cows,calves,farmland_ha,fields,maize_selfconsume_kg,agriculture_h,region,woreda
120101088800401002,-13,0,1,9.9,115,house,9,6,1,2,11.86,0,0,0,0.4594635,1,20,56,12,1
120101088800401011,-5,-12,1,9.9,138,house,10,7,1,2,0,0,0,0,0.306108,1,20,37,12,1
120101088800401015,-14,-2,1,9.9,42,house,3,2,0,1,0,0,0,0,0.169574,2,15,0,12,1
120101088800401027,-4,8,1,9.9,231,house,6,4,0,2,0,0,0,0,0.1596475,2,5,12,12,1
120101088800401037,-12,-4,1,9.9,186,house,4,3,0,1,0,0,0,0,0.149721,2,10,8,12,1
120101088800401056,-12,1,1,9.9,66,house,7,5,0,2,0,0,0,0,0.23324,2,5,30,12,1
120101088800401068,15,10,1,9.9,4,house,4,3,0,1,0,0,0,0,0.23431333333333335,2,0,0,12,1
120101088800401080,12,16,1,9.9,244,house,10,7,1,2,0,0,0,0,0.23538666666666666,1,30,41,12,1
120101088800401091,-6,2,1,9.9,8,house,8,6,0,2,0,0,0,0,0.23646,1,10,34,12,1
120101088800401096,-5,-9,1,9.9,331,house,8,6,0,2,0,0,0,0,0.27462400000000003,2,35,50,12,1
120201088801701001,-13,-2,1,9.9,181,house,6,4,0,2,16.31,2,5,2,0.785875,2,0,90,12,1
120201088801701013,4,7,1,9.9,254,house,11,8,0,3,14.71,2,4,3,0.734691,2,7.1450001001358,110,12,1
120201088801701019,-9,11,1,9.9,90,house,9,6,1,2,34.230000000000004,4,15,4,1.0445200000000001,2,0,48,12,1
120201088801701025,7,9,1,9.9,341,house,13,9,1,3,12.379999999999999,0,3,3,0.923832,2,5.71600008010864,69,12,1
120201088801701031,1,14,1,9.9,50,house,11,8,0,3,16.31,0,5,1,0.5235350000000001,1,4.28700006008148,80,12,1
120201088801701037,2,-16,1,9.9,56,house,13,9,1,3,9.08,0,6,3,0.09107,1,0,88,12,1
120201088801701043,4,-15,1,9.9,104,house,14,10,0,4,13.709999999999999,1,5,4,0.35519700000000004,2,0,108,12,1
120201088801701050,4,-2,1,9.9,159,house,2,1,1,0,0,0,0,0,0.00566,1,0,0,12,1
120201088801701053,15,-9,1,9.9,309,house,3,2,0,1,0,0,0,0,2.5739440000000005,2,0,0,12,1
120201088801701054,9,-5,1,9.9,231,house,7,5,0,2,1.2000000000000002,0,0,0,5.142228,2,15,60,12,1
120301088800107003,-13,2,1,9.9,259,house,4,3,0,1,0.08,0,0,0,1.936029,8,0,35,12,1
120301088800107021,15,-2,1,9.9,307,house,3,2,0,1,0,0,0,0,2,1,1,35,12,1
120301088800107039,-10,1,1,9.9,173,house,14,10,0,4,5.75,0,0,0,5.130307,6,0,89,12,1
120301088800107058,13,-1,1,9.9,201,house,6,4,0,2,0.08,0,0,0,7.405378,1,0,10,12,1
120301088800107077,9,1,1,9.9,123,house,8,6,0,2,3.41,0,1,0,2.275988,4,0,16,12,1
120301088800107096,-5,1,1,9.9,218,house,8,6,0,2,0,0,0,0,18.016966,5,10,24,12,1
120301088800107120,-12,-14,1,9.9,210,house,10,7,1,2,0,0,0,0,4.595804,4,0,16,12,1
120301088800107143,-3,-7,1,9.9,32,house,12,9,0,3,0.12,0,0,0,0.5194840000000001,1,7,20,12,1
120301088800107171,6,-5,1,9.9,63,house,9,6,1,2,0.04,0,0,0,0.2650945,1,30.625,66,12,1
