hhid,xcor,ycor,size,color,heading,shape,hhmembers,children,elders,adults,TLU,oxen,cows,calves,farmland_ha,fields,maize_selfconsume_kg,agriculture_h,region,woreda
071201088802802032,11,16,1,9.9,74,house,5,3,1,1,6.4399999999999995,2,1,0,1.216425,5,146.71200275421143,77,7,1
071201088801602009,-11,10,1,9.9,8,house,5,3,1,1,2,0,1,1,9.328165499999999,4,23.1,77,7,1
071401088801303168,9,-4,1,9.9,196,house,4,3,0,1,10.129999999999999,2,3,3,0.099405,1,15.455999612808188,38,7,1
071401088800402153,6,-11,1,9.9,229,house,11,8,0,3,32.97,2,6,3,10.48438,6,58.52800083160406,0,7,1
071401088801303036,-15,9,1,9.9,235,house,5,3,1,1,3.71,2,0,0,0.566801,3,37.67399990558618,80,7,1
071501088804404179,-4,6,1,9.9,289,house,5,3,1,1,2.87,0,0,0,0.76292509765625,3,6.429999947547911,44,7,1
071801088801001078,-7,-7,1,9.9,139,house,4,3,0,1,6.59,2,2,2,0.78091,2,7.1320000290870595,44,7,1
071301088801301003,-10,-12,1,9.9,105,house,9,6,1,2,2.84,2,0,0,1.34109,3,0,92,7,1
071201088800102002,0,8,1,9.9,121,house,8,6,0,2,10.549999999999999,1,1,0,21.6642618,1,33.678000032901764,14,7,1
071101088800201270,-8,0,1,9.9,117,house,6,4,0,2,2.57,1,0,0,7.402328999999999,5,36,8,7,1
071501088800704021,10,-6,1,9.9,184,house,6,4,0,2,0,0,0,0,0.34478000000000003,1,3.2189998626708896,72,7,1
071901088802302146,-15,-11,1,9.9,237,house,3,2,0,1,4,0,2,2,1.4774887969196984,2,0,65,7,1
071101088800201072,6,5,1,9.9,57,house,4,3,0,1,4,0,2,2,2.451365,3,0,15,7,1
071601088800803159,15,6,1,9.9,293,house,8,6,0,2,0.89,0,0,0,1.08166,3,12.92999982833862,42,7,1
070801088800401022,13,12,1,9.9,85,house,2,1,1,0,11.31,2,4,1,4.11049,2,25.05000042915347,7,7,1
071801088801001003,10,4,1,9.9,211,house,6,4,0,2,4,0,2,2,9.50049,2,30.00999903678893,28,7,1
071001088800403112,8,5,1,9.9,272,house,6,4,0,2,13.399999999999999,1,1,1,4.07204,4,62.65999925136568,126,7,1
071301088801301165,4,-12,1,9.9,119,house,7,5,0,2,0,0,0,0,0.217628,3,11.71000003814698,0,7,1
071201088800102020,-10,8,1,9.9,303,house,6,4,0,2,11.819999999999999,1,1,0,21.747326599999997,2,34.02299988269805,16,7,1
071801088800101055,8,-12,1,9.9,53,house,6,4,0,2,3.13,0,2,1,19.888323,3,9.70999974012374,26,7,1
071201088802802027,2,15,1,9.9,62,house,5,3,1,1,5.86,2,2,1,13.211651000000002,6,29.675000742077852,119,7,1
