hhid,xcor,ycor,size,color,heading,shape,hhmembers,children,elders,adults,TLU,oxen,cows,calves,farmland_ha,fields,maize_selfconsume_kg,agriculture_h,region,woreda
060301088800301246,12,16,1,9.9,262,house,3,2,0,1,0,0,0,0,1.325078,7,0,48,6,1
060303088804202010,5,-12,1,9.9,168,house,6,4,0,2,0,0,0,0,0.3292,4,5,0,6,1
060608088801401004,-8,3,1,9.9,98,house,5,3,1,1,8.58,0,0,0,1.2591539999999999,3,9,35,6,1
060305088803003075,-6,-15,1,9.9,87,house,11,8,0,3,6.369999999999999,0,1,0,9.390701,4,20.9799998998642,9,6,1
060207088801002061,13,-15,1,9.9,200,house,4,2,1,1,0,0,0,0,9.5692685,2,20,0,6,1
060204088800402200,4,-14,1,9.9,255,house,7,5,0,2,4.33,1,1,1,2.303845,6,14,10,6,1
060303088804202016,-13,4,1,9.9,306,house,6,4,0,2,3,0,1,2,0.8863559999999999,10,9,12,6,1
060402088800801001,-9,-6,1,9.9,123,house,5,3,1,1,1.4000000000000001,0,0,0,0.500145,3,10,7,6,1
060608088801401252,4,7,1,9.9,93,house,4,2,1,1,0.04,0,0,0,0.152609,2,3,0,6,1
060608088800402061,-5,-7,1,9.9,346,house,3,2,0,1,1.6800000000000002,0,0,0,3.9080809999999997,5,11.6,32,6,1
060608088801401031,-6,2,1,9.9,174,house,7,5,0,2,3.82,1,0,0,1.074845,2,14.424000263214076,8,6,1
060303088804202037,-11,10,1,9.9,358,house,3,2,0,1,9.42,0,2,0,1.595164,7,9,12,6,1
060207088801002175,-6,9,1,9.9,75,house,10,7,0,3,14.959999999999999,4,4,4,6.727105,5,30,78,6,1
060201088800802194,-3,-7,1,9.9,8,house,10,7,0,3,4.04,2,1,1,7.592775,7,7,168,6,1
060303088804202073,11,-16,1,9.9,193,house,5,3,1,1,4.35,0,1,1,0.834216,7,4,30,6,1
060204088800402127,15,-11,1,9.9,248,house,8,5,1,2,2.6300000000000003,0,1,0,1.4005606666666666,3,14,50,6,1
060201088800802164,13,1,1,9.9,256,house,5,3,1,1,5.67,2,1,1,13.654875,4,6,91,6,1
060204088800402266,-2,-12,1,9.9,50,house,1,0,1,0,0,0,0,0,2.2703784999999996,4,0,0,6,1
060204088800402053,15,-4,1,9.9,84,house,5,3,1,1,19.39,3,5,1,6.7626985,4,8,21,6,1
060204088800402103,8,-16,1,9.9,64,house,4,2,1,1,4.28,0,1,0,0.7448113333333333,2,0,0,6,1
060204088800402029,16,5,1,9.9,160,house,12,8,1,3,32.85,6,8,2,13.436335,6,15,70,6,1
060305088803003273,-16,-7,1,9.9,275,house,6,4,0,2,2.78,0,0,0,14.349004,4,8,5,6,1
060301088800301177,-16,1,1,9.9,285,house,6,4,0,2,0,0,0,0,1.5531199999999998,2,12,0,6,1
060608088800402133,-13,-11,1,9.9,295,house,5,3,1,1,0,0,0,0,15.956976000000001,4,16.79,0,6,1
060305088803003031,9,12,1,9.9,219,house,9,6,1,2,1.85,0,1,0,4.050903,7,4.3500001430511475,16,6,1
060608088800402041,13,-13,1,9.9,257,house,8,5,1,2,6.529999999999999,0,0,0,17.387385000000002,4,43.45999937057495,48,6,1
060303088804202007,12,-4,1,9.9,297,house,7,5,0,2,5.61,0,3,1,1.502542,9,10,30,6,1
060608088801401166,6,14,1,9.9,279,house,8,5,1,2,3.7199999999999998,2,0,0,2.078662,3,29.601999998092644,66,6,1
060608088800402079,2,-4,1,9.9,320,house,6,4,0,2,0.6000000000000001,0,0,0,0.493568,2,21,45,6,1
060303088804202064,1,3,1,9.9,232,house,2,1,0,1,5.07,0,0,1,0.868399,8,14,1,6,1
060402088800801049,12,3,1,9.9,59,house,5,3,1,1,2.64,0,1,0,1.348346,3,10,10,6,1
060303088804202082,13,-1,1,9.9,106,house,7,5,0,2,9.9,0,2,2,1.391877,10,12,12,6,1
060402088800801037,-1,5,1,9.9,232,house,6,4,0,2,6.989999999999999,0,0,0,1.58023,5,15,6,6,1
060301088800301040,8,-13,1,9.9,196,house,6,4,0,2,0,0,0,0,0.053445000000000006,1,0,0,6,1
060608088800402004,2,10,1,9.9,310,house,2,1,0,1,0.6,0,0,0,7.045087,4,16.759999999999998,5,6,1
060207088801002101,4,-8,1,9.9,136,house,6,4,0,2,4.6899999999999995,2,1,0,2.9010119999999997,3,0,21,6,1
060402088800801063,-9,4,1,9.9,102,house,10,7,0,3,0.77,0,0,0,1.7623400000000002,4,15,3,6,1
060204088800402176,-9,12,1,9.9,224,house,9,6,1,2,5.47,2,1,0,2.1323649999999996,4,16,12,6,1
060204088800402151,13,11,1,9.9,234,house,7,5,0,2,0.98,0,0,0,2.05631,4,14,109,6,1
060201088800802042,-7,-12,1,9.9,2,house,4,2,1,1,2,0,1,1,2.32596,4,3,70,6,1
060201088800802255,-2,-10,1,9.9,14,house,7,5,0,2,12.17,2,5,5,2.64833,7,1,70,6,1
060402088800801059,7,-7,1,9.9,147,house,5,3,1,1,4.07,0,1,1,0.46747,3,10,7,6,1
060305088803003064,-16,-3,1,9.9,28,house,12,8,1,3,17.77,0,4,3,14.339882999999999,4,8.012000262737276,109,6,1
060402088800801058,14,4,1,9.9,138,house,4,2,1,1,0,0,0,0,0.907908,3,0,2,6,1
060301088800301076,2,-1,1,9.9,19,house,1,0,1,0,3.0000000000000004,0,0,0,0.159405,1,0,0,6,1
060608088801401112,-13,-15,1,9.9,40,house,7,5,0,2,0,0,0,0,0.24517199999999997,2,9.652000188827527,22,6,1
060608088801401058,-16,5,1,9.9,129,house,7,5,0,2,6.220000000000001,0,1,2,0.8064819999999999,1,37.42900013923644,21,6,1
060301088800301121,-9,-7,1,9.9,55,house,5,3,1,1,0,0,0,0,0.264175,2,6,0,6,1
060301088800301094,2,-6,1,9.9,142,house,6,4,0,2,0.21000000000000002,0,0,0,0.33032,1,10,0,6,1
060608088801401085,-5,-12,1,9.9,166,house,6,4,0,2,0,0,0,0,4.206799,2,42.20999956130982,0,6,1
060207088801002137,-13,-7,1,9.9,176,house,6,4,0,2,8.51,2,2,1,2.860521240234375,4,10,83,6,1
060405088800203167,-14,-13,1,9.9,51,house,8,5,1,2,0.4,0,0,0,0.33448,1,7.90000021457672,0,6,1
060402088800801087,1,2,1,9.9,280,house,8,5,1,2,0,0,0,0,2.59846,2,15,14,6,1
060201088800802133,-13,-13,1,9.9,219,house,9,6,1,2,4.47,2,0,0,11.595165,8,19,91,6,1
060405088800203245,-16,0,1,9.9,110,house,5,3,1,1,0.4,0,0,0,1.71881,2,39.72000062465667,0,6,1
060305088803003042,-6,-5,1,9.9,236,house,7,5,0,2,0,0,0,0,1.34277,2,3.51500004529953,0,6,1
060608088800402172,-9,3,1,9.9,173,house,9,6,1,2,0.2,0,0,0,1.9987849999999998,4,28.7,0,6,1
060405088800203089,11,-9,1,9.9,215,house,9,6,1,2,17.33,0,0,0,0.51069,2,2.555000066757202,0,6,1
060207088801002001,-1,-9,1,9.9,150,house,9,6,1,2,28.99,7,5,4,3.4523019999999995,4,20,91,6,1
060301088800301002,7,-12,1,9.9,181,house,6,4,0,2,13.21,0,0,0,0.597155,2,0,0,6,1
060207088801002019,-8,7,1,9.9,360,house,6,4,0,2,6.63,2,2,1,2.8652027099609376,4,6,72,6,1
060608088800402154,11,-4,1,9.9,16,house,6,4,0,2,0,0,0,0,14.712264000000001,3,14.5,0,6,1
060301088800301216,11,-8,1,9.9,153,house,5,3,1,1,0,0,0,0,1.439099,5,0,0,6,1
060608088800402115,-9,2,1,9.9,136,house,7,5,0,2,13.209999999999999,0,0,0,20.605852,4,36.8499997854233,52,6,1
060207088801002082,13,15,1,9.9,342,house,3,2,0,1,0,0,0,0,6.235140250000001,3,0,0,6,1
060402088800801075,10,-12,1,9.9,55,house,5,3,1,1,7.55,0,1,1,0.182925,1,0,5,6,1
060303088804202028,-7,-6,1,9.9,296,house,7,5,0,2,2.56,0,1,0,1.281142,13,24,8,6,1
060305088803003174,0,-7,1,9.9,41,house,7,5,0,2,3.6,0,1,1,4.781435,3,14.16499972343445,48,6,1
060608088800402097,12,2,1,9.9,240,house,7,5,0,2,0.04,0,0,0,7.788861,2,20,3,6,1
060305088803003009,-14,6,1,9.9,54,house,4,2,1,1,0,0,0,0,5.0099730000000005,1,3,0,6,1
060608088801401139,6,9,1,9.9,234,house,11,8,0,3,2.4,1,0,0,0.940524,6,7.93599992990494,8,6,1
060402088800801111,4,-11,1,9.9,183,house,7,5,0,2,2.4,0,1,1,11.559825,3,20,18,6,1
060301088800301058,-14,10,1,9.9,91,house,9,6,1,2,4.46,0,0,0,0.042710000000000005,1,0,0,6,1
060303088804202055,1,-12,1,9.9,331,house,1,0,1,0,2,0,1,1,0.43688599999999994,3,3,0,6,1
060608088800402022,3,-16,1,9.9,182,house,4,2,1,1,6.9399999999999995,0,0,0,11.306786,4,21.65,15,6,1
060405088800203362,-11,1,1,9.9,226,house,5,3,1,1,0.88,0,0,0,0.2709,1,0,0,6,1
060608088801401193,-6,-11,1,9.9,213,house,11,8,0,3,2.4800000000000004,0,0,0,1.6125559999999999,4,28.259999752044678,15,6,1
060405088800203128,-12,12,1,9.9,92,house,3,2,0,1,0,0,0,0,4.555745,1,9.633999943733214,0,6,1
060303088804202001,8,1,1,9.9,287,house,4,2,1,1,0.04,0,0,0,1.211057,10,4,0,6,1
060608088801401234,-13,-16,1,9.9,85,house,3,2,0,1,0.02,0,0,0,0.20497200000000002,2,0,0,6,1
060207088801002041,-14,-12,1,9.9,159,house,3,2,0,1,0,0,0,0,12.90339675,2,0,0,6,1
060405088800203050,-5,0,1,9.9,225,house,5,3,1,1,11.03,0,1,2,14.65814,2,20.079999864101406,0,6,1
060301088800301021,8,0,1,9.9,233,house,5,3,1,1,0,0,0,0,0.029689999999999998,1,0,0,6,1
060305088803003240,-7,16,1,9.9,239,house,4,2,1,1,3.1799999999999997,0,0,0,0.707266,2,3.5300001204013816,0,6,1
060608088801401232,16,-13,1,9.9,284,house,2,1,0,1,0,0,0,0,0.25733500000000004,1,0,0,6,1
060201088800802102,13,8,1,9.9,21,house,8,5,1,2,0,0,0,0,1.5212299999999999,3,3,70,6,1
060402088800801099,2,15,1,9.9,74,house,8,5,1,2,0.21000000000000002,0,0,0,2.4327596464843753,4,21,17,6,1
060207088801002119,5,12,1,9.9,148,house,6,4,0,2,6.79,0,3,3,3.35276,1,4,28,6,1
060301088800301140,-2,9,1,9.9,226,house,5,3,1,1,0.8,0,0,0,0.07841000000000001,1,0,0,6,1
060402088800801013,-3,-8,1,9.9,236,house,4,2,1,1,0.76,0,0,0,9.8147,2,10,8,6,1
060608088801401220,3,12,1,9.9,230,house,2,1,0,1,0.8,0,0,0,0.30969800000000003,1,7.071999907493592,0,6,1
060305088803003306,5,3,1,9.9,177,house,2,1,0,1,2.09,0,0,0,7.4245745,4,0,0,6,1
060305088803003207,-8,15,1,9.9,291,house,4,2,1,1,3.3200000000000003,0,1,1,2.166564,5,20.490000009536743,7,6,1
